62,wikidataId/Q175632,,,,,,,,,,,,,,,,,,,,,,,,,,86552.0,,,,,,,,,,,Nuneaton,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q175632,wikidataId/Q175632,GBR,United Kingdom
63,wikidataId/Q1757473,,,,,,,,,,,,,,,,,,,,,,,,,,42954.0,,,,,,,,,,,Lytham St Annes,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1757473,wikidataId/Q1757473,GBR,United Kingdom
64,wikidataId/Q1774629,,,,,,,,,,,,,,,,,,,,,33090.0,,,,,33698.0,,,,,,,,,,,Irvine,72.33333333333333,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1774629,wikidataId/Q1774629,GBR,United Kingdom
65,wikidataId/Q179406,,,,,,,,,,,,,,,,,,,,,,,,,,88243.0,,,,,,,,,,,Grimsby,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q179406,wikidataId/Q179406,GBR,United Kingdom
66,wikidataId/Q179815,,,,,,,,,,,,,,,,,,,,,,,,,,48069.0,,,,,,,,,,,Durham,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q179815,wikidataId/Q179815,GBR,United Kingdom
67,wikidataId/Q180057,,,,,,,,,,,,,,,,,,,,,,,,,,100160.0,,,,,,,,,,,Lincoln,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q180057,wikidataId/Q180057,GBR,United Kingdom
68,wikidataId/Q182923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94000.0,,Stirling,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q182923,wikidataId/Q182923,GBR,United Kingdom
69,wikidataId/Q183296,,,,,,,,,,,,,,,,,,,,,32360.0,,,,,,,,,,,,,,,,Brighouse,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q183296,wikidataId/Q183296,GBR,United Kingdom
70,wikidataId/Q183329,,,,,,,,,,,,,,,,,,,,,,,,,,15504.0,,,,,,,,,,,Saffron Walden,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q183329,wikidataId/Q183329,GBR,United Kingdom
71,wikidataId/Q184090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141801.0,,,Preston,108.5,{1801:2018},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q184090,wikidataId/Q184090,GBR,United Kingdom
