,place,2001,2005,2008,2010,2011,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
69,wikidataId/Q1538,,,,,3124458.0,,,,,,,,,,,,Pune,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1538,wikidataId/Q1538,IND,India
70,wikidataId/Q15528101,,,,,109891.0,,,,,,,,,,,,Miryalaguda,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q15528101,wikidataId/Q15528101,IND,India
71,wikidataId/Q158467,,,,,1069276.0,,,,,,,,,,,,Gwalior,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q158467,wikidataId/Q158467,IND,India
72,wikidataId/Q1622928,,,,,58528.0,,,,,,,,,,,,Una,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1622928,wikidataId/Q1622928,IND,India
73,wikidataId/Q162442,,,,,1536218.0,,,,,,,,,,,,Allahabad,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q162442,wikidataId/Q162442,IND,India
74,wikidataId/Q16343722,,,,,50902.0,,,,,,,,,,,,Metpalle,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q16343722,wikidataId/Q16343722,IND,India
75,wikidataId/Q1637471,,,,,155959.0,,,,,,,,,,,,Vidisha,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1637471,wikidataId/Q1637471,IND,India
76,wikidataId/Q163798,,,,,315596.0,,,,,,,,,,,,Thrissur,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q163798,wikidataId/Q163798,IND,India
77,wikidataId/Q1639492,,,,,489561.0,,,,,,,,,,,,Rajamahendravaram,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1639492,wikidataId/Q1639492,IND,India
78,wikidataId/Q1656981,12962.0,,,,,,,,,,,,,,,,Garhi-Malhara,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1656981,wikidataId/Q1656981,IND,India
79,wikidataId/Q16891715,,,,,18000.0,,,,,,,,,,,,Gogawan,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q16891715,wikidataId/Q16891715,IND,India
80,wikidataId/Q169997,,,,,120414.0,,,,,,,,,,,,Darjeeling,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q169997,wikidataId/Q169997,IND,India
81,wikidataId/Q170115,,,,,1180570.0,,,,,,,,,,,,Srinagar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q170115,wikidataId/Q170115,IND,India
82,wikidataId/Q1707007,,,,,61247.0,,,,,,,,,,,,Halvad,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1707007,wikidataId/Q1707007,IND,India
83,wikidataId/Q1707463,,,,,12208.0,,,,,,,,,,,,Ghogha,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1707463,wikidataId/Q1707463,IND,India
84,wikidataId/Q1707605,41108.0,,,,,,,,,,,,,,,,Halol,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1707605,wikidataId/Q1707605,IND,India
85,wikidataId/Q1707629,,,,,,,,,,120564.0,,,,,,,Gurdaspur,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1707629,wikidataId/Q1707629,IND,India
86,wikidataId/Q1707695,,,,,124939.0,,,,,,,,,,,,Halisahar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1707695,wikidataId/Q1707695,IND,India
87,wikidataId/Q1708114,,,,,143644.0,,,,,,,,,,,,Godhra,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1708114,wikidataId/Q1708114,IND,India
88,wikidataId/Q1708134,,,,,73350.0,,,,,,,,,,,,Gudur,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1708134,wikidataId/Q1708134,IND,India
89,wikidataId/Q1708160,,,,,60782.0,,,,,,,,,,,,Golaghat,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1708160,wikidataId/Q1708160,IND,India
90,wikidataId/Q17082685,,,,,7875.0,,,,,,,,,,,,Shangus,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q17082685,wikidataId/Q17082685,IND,India
91,wikidataId/Q1708423,18388.0,,,,,,,,,,,,,,,,Harij,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1708423,wikidataId/Q1708423,IND,India
